조합 이름,편의점,주요 상품,보조 상품(들),키워드 / 상황,카테고리,원문 URL (출처)
악마의 유혹 디저트,GS25,브라우니,"악마빙수, 아메리카노","스트레스 폭발, 당 충전, 우울할 때, 퇴근 후, 혼자만의 시간, 초콜릿 중독, 칼로리 폭탄, 꿀꿀할 때",디저트,[AI 생성]
매운맛 끝판왕,세븐일레븐,마라볶음면,"쿨피스, 삼각김밥 (참치마요)","극강의 매운맛, 스트레스 해소, 화나는 날, 땀 흘리며 먹기, 매운맛 도전, 위장 어택, 콧물 주의",라면/분식 조합,[AI 생성]
혼술족 안주,CU,닭껍질 튀김,"수제 맥주, 땅콩","혼술, 야식, 퇴근 후, 넷플릭스, 주말, 간단 안주, 맥주 친구, 나만의 시간",술안주/야식,[AI 생성]
든든한 아침 식사,공통,에그 샌드위치,"바나나 우유, 견과류","바쁜 아침, 간편 식사, 든든함, 출근길, 등굣길, 건강 챙기기, 에너지 충전",간편 식사,[AI 생성]
비오는 날의 낭만,GS25,김치전,"막걸리, 컵라면 (멸치맛)","비 오는 날, 파전, 막걸리, 빗소리, 센치한 날, 집에서, 따뜻함, 꿀꿀한 날씨",술안주/야식,[AI 생성]
캠핑 파이어 세트,CU,마시멜로우,"미니 화로, 장작, 쥐포","캠핑, 불멍, 겨울밤, 추억 만들기, 따뜻함, 캠프파이어, 친구들과, 가족과 함께",간식,[AI 생성]
월급날의 만찬,세븐일레븐,스테이크 도시락,"레드 와인, 고급 치즈","월급날, FLEX, 행복, 고급진 저녁, 나를 위한 선물, 수고했어, 특별한 날",도시락/프리미엄,[AI 생성]
시험 기간 버프,공통,에너지 드링크,"초콜릿, 커피","시험 기간, 밤샘, 졸음 방지, 집중력 향상, 벼락치기, 카페인, 정신 번쩍",음료/간식,[AI 생성]
눈 오는 날의 행복,CU,호빵 (단팥),"핫초코, 군고구마","눈 오는 날, 따뜻함, 겨울, 낭만, 달콤함, 포근함, 집에서, 창밖 구경",간식,[AI 생성]
숙취 해소 특공대,GS25,해장 라면 (얼큰),"이온 음료, 계란","숙취, 다음 날, 괴로움, 속 풀이, 해장, 얼큰함, 시원함, 살려줘",라면/분식 조합,[AI 생성]
심야 영화관,세븐일레븐,팝콘,"콜라, 나쵸","심야 영화, 혼영, 집에서, 주말, 팝콘 무비, 편안함, 힐링, 밤",간식,[AI 생성]
늦은 밤 야식,공통,족발,"맥주, 콜라겐 젤리","야식, 늦은 밤, 배고픔, 유혹, 포만감, 잠들기 전, 행복한 돼지, 꿀잠 예약",술안주/야식,[AI 생성]
공부하다 지칠 때,CU,젤리,"탄산수, 비타민","공부, 집중력 저하, 당 충전, 상큼함, 리프레시, 기분 전환, 졸음 퇴치",간식,[AI 생성]
장마철 눅눅함 극복,GS25,매콤 스낵 (신당동 떡볶이),"탄산 음료, 아이스크림","장마, 습함, 불쾌지수, 매콤함, 시원함, 기분 전환, 눅눅함 극복, 입맛 돋우기",간식,[AI 생성]
여행 떠나는 설렘,세븐일레븐,육포,"견과류, 생수","여행, 출발, 설렘, 차 안에서, 간편함, 든든함, 심심함 달래기, 드라이브",간식,[AI 생성]
퇴근 후 소확행,공통,수입 맥주,"치즈볼, 감자칩","퇴근, 지침, 위로, 맥주, 소확행, 혼술, 힐링, 나만의 시간",술안주/야식,[AI 생성]
게임 폐인 필수템,CU,에너지 드링크,"라면, 삼각김밥","게임, 밤샘, 에너지, 집중, 멈출 수 없어, 폐인 모드, 밤샘 각, 승리",음료/간편식사,[AI 생성]
미세먼지 탈출,GS25,생수,"배 도라지차, 마스크","미세먼지, 목 건강, 답답함, 청량함, 깔끔, 건강, 필수템, 깨끗",음료/건강,[AI 생성]
인싸템 도전,세븐일레븐,민트 초코 라떼,"와플, 쿠키","인싸, 트렌드, 호불호, 도전, 궁금, 인증샷, 달콤, 민초단",음료/디저트,[AI 생성]
알바생의 점심,공통,도시락,"컵라면, 요구르트","알바, 점심, 짧은 휴식, 든든, 허겁지겁, 에너지 충전, 힘내자, 워킹",도시락/간편식사,[AI 생성]
극강의 단짠,CU,솔티 카라멜 팝콘,"제로 콜라, 감자칩","단짠, 무한 흡입, 멈출 수 없어, 영화 감상, 주말, 스트레스 해소, 넷플릭스, 힐링",간식,[AI 생성]
