"조합 이름","편의점","주요 상품","보조 상품(들)","키워드 / 상황","카테고리","원문 URL (출처)"
"마크정식 (원조)","GS25","자이언트 떡볶이","콕콕콕 스파게티, 의성마늘후랑크, 모짜렐라 치즈","SNS 인증, 든든한, 아이돌 레시피, 맵단짠, 치즈, 푸짐하게 먹고 싶을 때, 자취생 특식, 여러 가지 섞어서, 스트레스 받을 때, 여럿이서 함께, 비주얼 좋은","라면/분식 조합","https://www.10000recipe.com/recipe/6921121"
"순두부 열라면","공통","열라면 (컵 또는 봉지)","순두부 (팩), 날계란, 후추","해장, 얼큰한, 든든한, 부드러운, 국물, 술 마신 다음 날, 속 풀고 싶을 때, 숙취 해소, 추운 날, 뜨끈한 국물이 생각날 때, 얼큰하게 땀 빼고 싶을 때, 밥 말아 먹기 좋은","라면/분식 조합","https://www.10000recipe.com/recipe/7044323"
"사리곰탕 만둣국","공통","사리곰탕 (컵)","냉동 만두 (고기 또는 김치)","든든한 한 끼, 따끈한, 국물, 초간단, 자취생, 해장, 깊은 국물 맛, 추운 날, 몸 녹일 때, 아플 때, 밥 말아 먹기 좋은, 맵지 않고 고소한","라면/분식 조합","https://www.10000recipe.com/recipe/6992933"
"불닭게티 (강다니엘 정식)","공통","불닭볶음면 (컵)","짜파게티 (컵)","스트레스, 매운맛, 맵단짠, 꾸덕, 아이돌 레시피, 화끈하게 매운맛, 짜장과 매운맛의 조화, 기분 꿀꿀할 때, 든든하게, 자극적인 게 당길 때","라면/분식 조합","https://www.10000recipe.com/recipe/6995068"
"불닭빠네","공통","불닭볶음면 (컵)","호빵 (단팥/야채 외), 모짜렐라 치즈","이색조합, 든든한, 매운맛 중화, SNS 인증, 꾸덕, 비주얼 좋은, 홈파티, 고소하고 부드러운 매운맛, 맵찔이 도전, 빵이랑 같이","라면/분식 조합","https://www.10000recipe.com/recipe/6992924"
"불닭치면 (불닭+닭발)","공통","불닭볶음면 (컵)","즉석 불닭발 (팩), 닭강정, 슬라이스 치즈","스트레스, 매운맛 (극강), 술안주, 야식, 든든한, 기분이 우울할 때, 화가 날 때, 스트레스 폭발할 때, 다 잊고 싶을 때, 정신 번쩍 드는 매운맛, 이열치열","라면/분식 조합","https://www.10000recipe.com/recipe/6918118"
"삼각김밥 비빔밥","공통","삼각김밥 (참치마요 등)","볶음김치 (팩), 김자반, 참기름","초간단, 아침대용, 든든한, 자취생, 가성비, 돈 없을 때, 5분 완성, 밥 해 먹기 귀찮을 때, 간단하게 한 끼, 설거지 싫을 때","든든한 식사","https://m.lguplus.com/pogg/magazine/GS25-CU-%ED%8E%8C%EC%9D%98%EC%A0%90-%ED%95%A0%EC%9D%B8-%EA%BF%80%ED%8C%81%EA%B3%BC-%ED%8E%8C%EC%9D%98%EC%A0%90-%EA%BF%80%EC%A1%B0%ED%95%A9-%EC%95%8C%EC%95%84%EB%B3%B4%EA%B1%B0"
"밴쯔정식","공통","조각 피자 (콤비네이션)","떡볶이 (컵), 훈제 닭다리, 스트링 치즈","든든한 한 끼, 푸짐한, 고기, 치즈, 먹방 유튜버, 칼로리 폭탄, 배 터지게 먹고 싶은 날, 치팅데이, 스트레스, 고기랑 떡볶이 둘 다, 육식파","든든한 식사","https://bravo.etoday.co.kr/view/atc_view/12730"
"불닭 가츠동","공통","불닭 덮밥 (완제품)","사리곰탕 (스프), 순살 치킨 (or 돈까스)","든든한 한 끼, 매운맛, 이색조합, 푸짐, 매운맛 중화, 일식 느낌, 밥심, 돈까스랑 매운 거, 덮밥, 든든한 점심","든든한 식사","https://kyobolifeblog.co.kr/3206"
"오지치즈후라이","공통","감자칩 (포카칩 등)","모짜렐라 치즈, 스트링 치즈, 체다 치즈","맥주안주, 야식, 치즈, 단짠단짠, 초간단, 영화 볼 때, 친구랑 간단히 한잔, 고소하고 짭짤한, 와인 안주, 출출할 때, 감자칩 활용","술안주/야식","https://kyobolifeblog.co.kr/3206"
